Municipality,Month,All (Arrivals),All (Overnight stays),Slovenia (Arrivals),Slovenia (Overnight stays),Foreign (Arrivals),Foreign (Overnight stays),Austria (Arrivals),Austria (Overnight stays),Belgium (Arrivals),Belgium (Overnight stays),Bulgaria (Arrivals),Bulgaria (Overnight stays),Bosnia and Herzegovina (Arrivals),Bosnia and Herzegovina (Overnight stays),Cyprus (Arrivals),Cyprus (Overnight stays),Czech Republic (Arrivals),Czech Republic (Overnight stays),Montenegro (Arrivals),Montenegro (Overnight stays),Denmark (Arrivals),Denmark (Overnight stays),Estonia (Arrivals),Estonia (Overnight stays),Finland (Arrivals),Finland (Overnight stays),France (Arrivals),France (Overnight stays),Greece (Arrivals),Greece (Overnight stays),Croatia (Arrivals),Croatia (Overnight stays),Ireland (Arrivals),Ireland (Overnight stays),Iceland (Arrivals),Iceland (Overnight stays),Italy (Arrivals),Italy (Overnight stays),Latvia (Arrivals),Latvia (Overnight stays),Lithuania (Arrivals),Lithuania (Overnight stays),Luxembourg (Arrivals),Luxembourg (Overnight stays),Hungary (Arrivals),Hungary (Overnight stays),North Macedonia (Arrivals),North Macedonia (Overnight stays),Malta (Arrivals),Malta (Overnight stays),Germany (Arrivals),Germany (Overnight stays),Netherlands (Arrivals),Netherlands (Overnight stays),Norway (Arrivals),Norway (Overnight stays),Poland (Arrivals),Poland (Overnight stays),Portugal (Arrivals),Portugal (Overnight stays),Romania (Arrivals),Romania (Overnight stays),Russian Federation (Arrivals),Russian Federation (Overnight stays),Slovakia (Arrivals),Slovakia (Overnight stays),Serbia (Arrivals),Serbia (Overnight stays),Spain (Arrivals),Spain (Overnight stays),Sweden (Arrivals),Sweden (Overnight stays),Switzerland (Arrivals),Switzerland (Overnight stays),Turkey (Arrivals),Turkey (Overnight stays),Ukraine (Arrivals),Ukraine (Overnight stays),Other European countries (Arrivals),Other European countries (Overnight stays),South Africa (Arrivals),South Africa (Overnight stays),Other African countries (Arrivals),Other African countries (Overnight stays),Australia (Arrivals),Australia (Overnight stays),New Zealand (Arrivals),New Zealand (Overnight stays),Other countries and territories of Oceania (Arrivals),Other countries and territories of Oceania (Overnight stays),Israel (Arrivals),Israel (Overnight stays),Japan (Arrivals),Japan (Overnight stays),China (People’s Republic) (Arrivals),China (People’s Republic) (Overnight stays),Korea (Republic) (Arrivals),Korea (Republic) (Overnight stays),Other Asian countries (Arrivals),Other Asian countries (Overnight stays),Brazil (Arrivals),Brazil (Overnight stays),Other South and Central American countries (Arrivals),Other South and Central American countries (Overnight stays),Canada (Arrivals),Canada (Overnight stays),United States (USA) (Arrivals),United States (USA) (Overnight stays),Other countries and territories of North America (Arrivals),Other countries and territories of North America (Overnight stays)
Nova Gorica,2020M04,0,478,0,0,0,478,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renče-Vogrsko,2020M04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Šempeter-Vrtojba,2020M04,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vipava,2020M04,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajdovščina,2020M05,78,182,67,110,11,72,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,1,0,20,0,0,1,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miren-Kostanjevica,2020M05,36,76,29,47,7,29,0,0,0,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Gorica,2020M05,248,569,203,306,45,263,1,4,0,0,0,0,3,101,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,16,0,0,0,0,11,111,0,0,0,0,0,0,4,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,4,4,3,3,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renče-Vogrsko,2020M05,43,52,37,45,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Šempeter-Vrtojba,2020M05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vipava,2020M05,95,117,87,104,8,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajdovščina,2020M06,622,1310,319,678,303,632,26,44,4,4,1,1,7,16,0,0,5,5,0,0,2,24,0,0,1,1,5,7,0,0,14,18,0,0,0,0,139,188,0,0,0,0,0,0,11,28,0,0,0,0,50,149,7,68,1,1,0,0,0,0,8,9,0,0,6,6,2,2,0,0,2,2,5,7,0,30,0,0,1,1,1,8,0,0,1,4,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miren-Kostanjevica,2020M06,150,366,124,300,26,66,4,17,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,12,20,0,0,0,0,0,0,1,1,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nova Gorica,2020M06,3433,6051,1176,2067,2257,3984,99,137,2,2,9,84,27,230,0,0,14,14,0,0,0,0,0,0,0,0,15,21,0,0,34,100,1,1,0,0,1626,2512,0,0,0,0,0,0,24,127,12,14,0,0,166,280,9,11,0,0,8,15,0,0,43,85,5,7,8,12,19,27,4,63,0,0,22,29,1,2,15,50,5,5,15,19,0,0,2,2,0,0,0,0,0,0,3,6,0,0,50,95,0,0,4,6,0,0,3,6,0,0,12,22,0,0
Renče-Vogrsko,2020M06,254,491,176,341,78,150,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,50,81,0,0,0,0,0,0,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Šempeter-Vrtojba,2020M06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vipava,2020M06,556,791,367,542,189,249,40,51,2,2,1,1,0,0,0,0,3,3,0,0,1,1,0,0,1,2,1,4,0,0,1,1,0,0,0,0,29,30,0,0,0,0,0,0,3,6,0,0,0,0,81,121,11,11,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,5,6,0,0,1,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0

Ajdovščina,2020M07,1693,3899,964,2354,729,1545,30,49,40,115,0,0,8,20,0,0,16,24,0,0,2,2,0,0,0,0,54,118,0,0,6,7,1,4,0,0,225,393,2,2,0,0,0,0,31,77,0,0,0,0,174,468,55,143,0,0,11,11,0,0,12,13,2,3,10,10,2,12,9,9,0,0,22,29,1,7,0,0,2,2,6,12,0,0,2,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,4,7,0,0,1,1,0,0,0,0,0,0
Miren-Kostanjevica,2020M07,364,1016,253,693,111,323,9,13,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,0,46,108,0,0,0,0,0,0,1,1,0,0,0,0,28,141,7,21,0,0,2,2,0,0,0,0,5,15,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,8,0,0
Nova Gorica,2020M07,6982,13976,2300,4885,4682,9091,136,263,47,76,14,104,28,317,0,0,100,225,0,0,8,10,0,0,6,12,64,85,4,4,42,122,1,1,0,0,3108,5110,0,0,5,5,2,2,147,361,8,10,0,0,342,977,69,147,0,0,45,125,5,9,52,143,8,19,28,47,26,37,14,77,0,0,73,133,8,16,22,92,33,62,24,40,0,0,11,12,0,0,0,0,0,0,8,12,18,83,131,259,1,10,17,19,1,4,8,8,0,0,18,53,0,0
Renče-Vogrsko,2020M07,345,761,168,409,177,352,1,1,0,0,0,0,35,85,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,6,20,2,2,0,0,74,104,0,0,0,0,0,0,7,7,0,0,0,0,14,27,0,0,0,0,0,0,0,0,11,15,0,0,3,3,6,45,0,0,0,0,4,24,0,0,1,1,1,1,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,1,1,0,0,0,0,0,0
Šempeter-Vrtojba,2020M07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
